id,name,sector,image,deliveryTime,manual
lionx-digital-0001,Netflix Premium - 100,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0002,Netflix Premium - 200,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0003,Netflix Premium - 300,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0004,Netflix Premium - 500,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0005,Netflix Premium - 1000,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0006,Netflix Premium - 2000,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0007,Netflix Premium - 3000,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0008,Netflix Premium - 5000,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0009,Netflix Premium - 10000,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0010,Netflix Premium - 1 Month,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0011,Netflix Premium - 2 Months,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0012,Netflix Premium - 3 Months,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0013,Netflix Premium - 6 Months,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0014,Netflix Premium - 12 Months,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0015,Netflix Premium - Basic,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0016,Netflix Premium - Standard,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0017,Netflix Premium - Premium,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
lionx-digital-0018,Netflix Premium - VIP,DIGITAL,https://upload.wikimedia.org/wikipedia/commons/0/08/Netflix_2015_logo.svg,يدوي - فوري,True
